TeamId,TeamName,SubmissionDate,Score
26585,"Amitendra Kumar","2020-09-04 06:56:57",0.52153
33492,"Cheryl Wang","2020-09-29 02:02:25",0.77990
33751,"Naoki Nishiyama","2020-10-01 05:00:41",0.76555
34454,"Raghavendra Rao","2020-07-26 04:13:50",0.78468
35486,Amogh,"2020-09-17 13:51:02",0.76555
46515,"Juha Syrjälä","2020-07-30 11:56:38",0.77272
49585,owaisa,"2020-08-09 04:18:43",0.77511
50032,imnishantg,"2020-09-30 21:13:46",1.00000
57426,jbryant18,"2020-09-26 21:52:26",0.77511
60200,Siddique,"2020-09-11 14:20:40",0.77751
63780,"Bill Zichos","2020-09-24 14:52:20",0.58851
66284,"Nitin Sharma","2020-07-26 13:34:15",0.59330
68971,terje,"2020-08-15 13:22:49",0.79425
69207,vhd90,"2020-08-03 02:01:09",0.79186
70711,Krishna,"2020-08-30 15:49:00",0.76794
74367,"Veerasak Kritsanapraphan","2020-08-21 07:42:01",0.76076
75472,odpadnimail,"2020-08-19 00:35:59",0.77511
80775,tgaddie,"2020-09-11 20:09:02",0.80382
83651,adamzjw,"2020-08-09 03:28:17",0.77272
96446,"Dream Theater","2020-09-21 16:05:20",0.77272
99212,sromine1,"2020-09-09 16:39:58",0.78229
102198,Xblue,"2020-09-19 18:14:13",0.81578
109395,"Yury Pitsishin","2020-08-05 12:34:05",0.77990
118921,atheius,"2020-09-12 12:00:06",0.77033
141200,"Harold Ship","2020-09-22 14:23:31",0.77511
143050,jletteboer,"2020-10-07 08:55:22",0.76315
151038,ashishdutt,"2020-08-29 13:12:35",0.77511
152929,dbarreda,"2020-08-01 01:20:55",0.62200
172529,slane,"2020-09-11 20:38:06",0.77511
176168,"Yogi Sharo Sarumaha","2020-10-06 10:11:43",0.62200
179728,"Matt Gilliam","2020-08-23 21:52:43",0.74162
185212,ingeniouXY,"2020-08-28 18:22:48",0.76555
196354,hochulshin,"2020-07-29 17:57:54",0.76555
202957,ARLima,"2020-08-20 00:12:28",0.78708
210937,bookcase1001,"2020-08-26 01:27:54",0.78468
234127,blisskinny,"2020-09-08 13:35:15",0.76794
236755,Darkwing87,"2020-08-16 13:06:35",0.77511
240784,HiroyukiSHINODA,"2020-09-11 08:16:39",0.77272
242984,patruff,"2020-08-12 12:47:41",0.77511
243050,"Jagat Bhat","2020-09-13 09:14:40",0.77990
247343,Behrouz,"2020-07-27 17:00:10",0.77511
255341,"Machau log","2020-08-22 15:17:56",0.78229
258967,"Aradhya Kasat","2020-09-24 22:18:44",0.76315
261716,"Aleksey Khrapal","2020-08-05 08:18:22",0.76315
266563,"Vicente Herrera","2020-08-18 02:19:33",0.72966
267886,"Evan Lasley","2020-10-03 22:30:24",0.76555
275974,"Werk it","2020-08-03 16:37:52",0.77511
281441,M1InfoEvryBBKT,"2020-08-14 08:44:07",0.79186
288076,"Samir Aryamane","2020-08-16 00:05:19",0.72966
299379,"Zomg Phunk","2020-08-17 12:28:30",0.77511
304828,MaulikPatni,"2020-10-04 19:32:38",0.77272
314478,"Top half hopefully","2020-08-02 22:18:03",0.78229
315118,MehranMahmoudi,"2020-10-02 15:33:17",0.78708
320447,"robert 9","2020-07-23 18:53:10",0.77990
323415,"Gustavo Cavaliere","2020-08-23 12:53:51",0.77751
330832,Inspiration,"2020-07-27 10:39:34",0.77511
334104,"Jeff Rodgers","2020-08-12 17:34:06",0.74880
334449,TiagoVanderleideArruda,"2020-08-21 01:13:08",0.77511
336089,NickWong,"2020-07-26 23:43:57",0.77511
338975,Ming2,"2020-08-14 04:38:14",0.76555
341807,"Señor Pimiento","2020-08-22 06:57:09",0.77511
343475,"Yogesh Kulkarni","2020-10-06 09:09:29",0.78229
346478,"Marco 7","2020-09-28 10:43:28",0.78229
346922,IvanTang,"2020-07-30 11:06:34",0.78708
